Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),HOCOL S.A.,SANTO DOMINGO NORTE,LA PUNTA,0.1139,0.1062,0.1208,0.1139,0.1062,0.0974,0.0979,0.0983,0.8546,25.638,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),EMERALD ENERGY PLC SUCURSAL COLOMBIA,VIGIA SUR,CAMPO RICO,0.0131,0.0116,0.0115,0.0123,0.0141,0.0151,0.0155,0.0156,0.1088,3.264,,
CASANARE,OROCUE,4.915139133,-71.59873966,POINT (-71.59873966 4.915139133),PERENCO COLOMBIA LIMITED,VIREO,OROPENDOLA,0.0308,0.0321,0.0303,0.0286,0.0353,0.036,0.0359,0.0354,0.2644,7.932,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),Frontera Energy Colombia Corp Sucursal Colombia,AZOR,ARRENDAJO,0.0083,0.0081,0.0079,0.0078,0.0077,0.0078,0.0091,0.0094,0.0661,1.983,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PAREX RESOURCES COLOMBIA LTD. SUCURSAL,BEGONIA,LLA 40,0.0343,0.0346,0.0333,0.03,0.0211,0.0259,0.0253,0.0247,0.2292,6.876,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PERENCO OIL AND GAS COLOMBIA LIMITED.,CUERVA OESTE,LA CUERVA,0.0287,0.0285,0.0282,0.0235,0.0184,0.0157,0.0171,0.0178,0.1779,5.337,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),PERENCO OIL AND GAS COLOMBIA LIMITED.,CUERVA SUR,LA CUERVA,0.0044,0.0036,0.0034,0.0033,0.0034,0.0031,0.0031,0.003,0.0273,0.819,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,DOROTEA B,DOROTEA,0.1732,0.1812,0.1974,0.1789,0.1648,0.1606,0.1724,0.1684,1.3969,41.907,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA B,LEONA,0.0153,0.0152,0.0154,0.015,0.014,0.0147,0.0127,0.0123,0.1146,3.438,,
CASANARE,PAZ DE ARIPORO,5.779915281,-70.86947037,POINT (-70.86947037 5.779915281),NEW GRANADA ENERGY CORPORATION SUCURSAL COLOMBIA,LEONA B SUR,LEONA,0.004,0.0041,0.001,0.001,0.001,0,0.0015,0.006,0.0186,0.558,,
